STATION_NO,R_STATION,R_CTRY,R_LATITUDE,R_LONGITUD,R_ALTITUDE,R_HEIGHT,R_ANT_BEAM,ZONE,ANTEN_TYPE,ANTEN_DIAM,FEED,PROT_RAD,FIG_MERIT,XPD_0,OFF_AXIS,RELAT_LEV,RANGE_REC,INT_TIME,EXP_NO,SATEL_NAME,SATEL_POS,TYPE,START_DATE,END_DATE,DURATION,FREQUENCY,POL_L_C,POLAR,ELEVATION,RAIN_CONC,T_MED,DATA_SAMP,CALIB_INT,DAT_RES,RAIN_GAUGE,RAIN_RES,RAIN_TIME,LOC_GAUGE,ATT_E_T,RR_001,RR_002,RR_003,RR_005,RR_01,RR_02,RR_03,RR_05,RR_1,RR_2,RR_3,RR_5,RR1,RR2,RR3,RR5,RR10,RR20,RR30,RR50,A_001,A_002,A_003,A_005,A_01,A_02,A_03,A_05,A_1,A_2,A_3,A_5,A1,A2,A3,A5,A10,A20,A30,A50,FLAG1,FLAG2,FLAG3,FLAG4,FLAG5,FLAG6,FLAG7,FLAG8,REFERENCES_EXP,COMMENTS
104,HOLMDEL,US,40.4,285.9,110,,,K,,,,,,,,,,,1,CTS,244,BCN,1976/04/01,1977/04/01,365,11.7,C,45,27,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.4,5.7,3.4,3,2.8,2.5,2.2,1.9,1.8,1.1,0.6,,,,,,,,,,0E+0,0E+0,0E,,,,RUSTAKO 82,I08
104,HOLMDEL,US,40.4,285.9,110,,,K,,,,,,,,,,,2,CTS,244,BCN,1977/04/01,1978/04/01,365,11.7,C,45,27,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.7,18.7,13.5,9.2,7.3,5,3,2.2,1.8,1.1,0.6,,,,,,,,,,3E-3,1E+0,0E,,,,RUSTAKO 82,I08
104,HOLMDEL,US,40.4,285.9,110,,,K,,,,,,,,,,,3,CTS,244,BCN,1978/04/01,1979/04/01,365,11.7,C,45,27,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,22.9,19.5,14.4,9.5,6.2,4.8,3.6,2.4,1.8,1.5,1,0.6,,,,,,,,,,1E-3,1E+0,0E,,,,RUSTAKO 82,I08
104,HOLMDEL,US,40.4,285.9,110,,,K,,,,,,,,,,,4,CMST1,232,BCN,1976/07/01,1978/06/01,700,19,L,90,18.5,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,29.7,25,18.3,12,7.3,5.5,3.9,2.5,,,,,,,,,,1E-2,1E+0,0E,,,,COX & ARNO,I08
104,HOLMDEL,US,40.4,285.9,110,,,K,,,,,,,,,,,5,CMST2,265,BCN,1977/05/01,1978/05/01,365,19,L,69,38.6,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,32.8,22,16.2,13.5,9.9,6.5,4.6,3.8,2.9,2,,,,,,,,,,3E-3,1E+0,0E,,,,COX & ARNO,I08
104,HOLMDEL,US,40.4,285.9,110,,,K,,,,,,,,,,,6,CMST2,265,BCN,1977/05/01,1978/05/01,365,19,L,21,38.6,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,34.5,24,17.5,14.5,10.6,7,4.9,4,3,2,,,,,,,,,,3E-3,1E+0,0E,,,,COX & ARNO,I08. same as 104/5 in another polarisation (45 deg.) - C.Riva L.Castanet (Oct. 2005)
104,HOLMDEL,US,40.4,285.9,110,,,K,,,,,,,,,,,7,CMST2,265,BCN,1977/05/01,1978/05/01,365,28.6,L,69,38.6,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,33.1,28,20.9,14,9.8,8,6,4,,,,,,,,,,1E-2,1E+0,0E,,,,COX & ARNO,I08
105,CLARKSBURG,US,39.2,282.7,180,,,K,,,,,,,,,,,1,,,RDM,1974/10/01,1975/09/01,365,11.6,L,0,42,Y,,,,,,,,,,,,,,80,51,39,27.1,16,8.6,6,,,,,,,,,,,,,,10.2,7.5,6.3,5.1,3.8,2.8,2.4,,,,,,,,,,,,,,,,,,FANG & HAR,I08
105,CLARKSBURG,US,39.2,282.7,180,,,K,,,,,,,,,,,2,,,RDM,1976/07/01,1977/07/01,365,11.6,L,0,21,Y,,,,,,,,,,,,,92.1,66,40,30,20.4,12.5,8,6,3.8,2,,,,,,,,,,,,6.8,5.7,5.1,4.1,3,1.9,1.5,,,,,,,,,,,,,,,,,,KUMAR 82,I08
105,CLARKSBURG,US,39.2,282.7,180,,,K,,,,,,,,,,,3,,,RDM,1977/08/01,1978/08/01,365,11.6,L,0,41,Y,,,,,,,,,,,,,65,50,32,25,17.6,11,7.5,6,4.3,2.8,,,,,,,,,,,,8.5,5.4,4.1,3.2,2.3,1.4,1,,,,,,,,,,,,,,,,,,KUMAR 82,I08
105,CLARKSBURG,US,39.2,282.7,180,,,K,,,,,,,,,,,4,,,RDM,1978/08/01,1979/08/01,365,11.6,L,0,43.5,Y,,,,,,,,,,,,,82.4,70,49,42,27.9,17,9.3,6,4.1,2.2,,,,,,,,,,,,8.9,6.9,6,4.1,2.5,1.4,1,,,,,,,,,,,,,,,,,,KUMAR 82,I08
105,CLARKSBURG,US,39.2,282.7,180,,,K,,,,,,,,,,,5,CMST1,232,BCN,1976/07/01,1977/07/01,365,19,L,86,21,Y,,,,,,,,,,,,,92.1,66,40,30,20.4,12.5,8,6,3.8,2,,,,,,,,,,,,22.2,18,16,12.3,8.6,5.1,3.8,2.2,1,,,,,,,,1E-2,1E+0,3E-2,1E+0,0E,,,,KUMAR 82,I08
105,CLARKSBURG,US,39.2,282.7,180,,,K,,,,,,,,,,,6,CMST1,232,BCN,1976/07/01,1977/07/01,365,19,L,4,21,Y,,,,,,,,,,,,,92.1,66,40,30,20.4,12.5,8,6,3.8,2,,,,,,,,,,,,25,21,19,14.3,10,6,4.5,2.5,,,,,,,,,1E-2,5E-1,3E-2,5E-1,,,,,KUMAR 82,I08. same as 105/5 in the orthogonal polarisation - C.Riva L.Castanet (Oct. 2005)
105,CLARKSBURG,US,39.2,282.7,180,,,K,,,,,,,,,,,7,CMST2,265,BCN,1977/08/01,1978/08/01,365,19,L,69,41,Y,,,,,,,,,,,,,65,50,32,25,17.6,11,7.5,6,4.3,2.8,,,,,,,,,,,,25,17.3,14,9.7,6,3.5,2.5,,,,,,,,,,1E-2,3E-1,1E-2,3E-1,,,,,KUMAR 82,I08
105,CLARKSBURG,US,39.2,282.7,180,,,K,,,,,,,,,,,8,CMST2,265,BCN,1977/08/01,1978/08/01,365,19,L,21,41,Y,,,,,,,,,,,,,65,50,34.2,25,18.8,11,7.8,6,4.5,2.8,,,,,,,,,,,,27,20.2,17,11.9,7.4,4.4,3.2,1.8,0.8,,,,,,,,1E-2,1E+0,3E-2,1E+0,0E,,,,KUMAR 82,I08. same as 105/7 in another polarisation (45 deg.) - C.Riva L.Castanet (Oct. 2005)
105,CLARKSBURG,US,39.2,282.7,180,,,K,,,,,,,,,,,9,CMST3,273,BCN,1978/08/01,1980/08/01,780,19,L,90,43.5,Y,,,,,,,,,,,,,82.4,70,49,40,27.9,17,9.3,6.5,4.1,2.2,,,,,,,,,,,,24,18.6,16,13,9.8,6.4,5,2.3,0.8,,,,,,,,1E-2,1E+0,1E-2,1E+0,0E,,,,KUMAR 82,I08. other satellite (COMSTAR 3 19GHz) - new period but 2 years - C.Riva L.Castanet (Oct. 2005)
105,CLARKSBURG,US,39.2,282.7,180,,,K,,,,,,,,,,,10,CMST1,232,BCN,1976/07/01,1977/07/01,365,28.6,L,86,21,Y,,,,,,,,,,,,,92.1,66,40,30,20.4,12.5,8,6,3.8,2,,,,,,,,,,,,,,27,21.4,15.6,11.1,7.9,5.3,3,,,,,,,,3E-2,1E+0,2E-1,1E+0,0E,,,,KUMAR 82,I08. from 0.03% to 0.2% rain events should be missing (inflexion point at 0.2%) C. Riva L.Castanet (Oct. 2005)
105,CLARKSBURG,US,39.2,282.7,180,,,K,,,,,,,,,,,11,CMST2,265,BCN,1977/08/01,1978/08/01,365,28.6,L,69,41,Y,,,,,,,,,,,,,65,50,32,25,17.6,11,7.5,6,4.3,2.8,,,,,,,,,,,,,,24.5,18.9,13.4,8.1,6,3.6,1.8,,,,,,,,3E-2,1E+0,3E-2,1E+0,0E,,,,KUMAR 82,I08
105,CLARKSBURG,US,39.2,282.7,180,,,K,,,,,,,,,,,12,CMST3,273,BCN,1978/08/01,1980/08/01,780,28.6,L,90,43.5,Y,,,,,,,,,,,,,82.4,70,49,40,27.9,17,9.3,6.5,4.1,2.2,,,,,,,,,,,,,,27,22.3,17.2,12.4,10.2,7,4.2,,,,,,,,2E-2,1E+0,3E-1,1E+0,0E,,,,KUMAR 82,I08. other satellite (COMSTAR 3 29GHz) - new period but 2 years - C.Riva L.Castanet (Oct. 2005)
106,GREENBELT,US,38.5,283,200,,,K,,,,,,,,,,,1,CTS,244,BCN,1976/07/01,1977/06/01,365,11.7,C,45,29,Y,,,,,,,,,,133,106.8,94,79.3,63,43.5,35,27,19,11,8,5.3,3,,,,,,,,,,17,12.9,8.9,5.9,4.6,3.1,1.8,1.2,1,0.6,0.3,,,,,,,,1E-2,1E+0,3E-3,1E+0,SE,,,,IPPOLITO 7,I08
106,GREENBELT,US,38.5,283,200,,,K,,,,,,,,,,,2,CTS,244,BCN,1977/07/01,1978/06/01,365,11.7,C,45,29,Y,,,,,,,,,,130,107.4,96,78.6,60,38.7,30,21.7,14,9,7,4.9,3,,,,,,,,26.3,22.3,20.3,16.3,12.1,7,5.1,3.6,2.2,1.5,1.2,0.8,0.5,,,,,,,,1E-2,1E+0,1E-2,1E+0,SE,,,,IPPOLITO 7,I08
106,GREENBELT,US,38.5,283,200,,,K,,,,,,,,,,,3,CTS,244,BCN,1978/07/01,1979/06/01,365,11.7,C,45,29,Y,,,,,,,,,,120,100.1,90,70.1,50,36.2,30,21.7,14,9,7,4.9,3,,,,,,,,29.4,27.2,26,20,14,8.1,5.9,3.5,1.7,1.3,1.1,0.9,0.6,,,,,,,,3E-3,1E+0,3E-3,1E+0,SE,,,,IPPOLITO 7,I08
106,GREENBELT,US,38.5,283,200,,,K,,,,,,,,,,,4,CTS,244,BCN,1976/07/01,1979/06/01,1095,11.7,C,45,29,Y,,,,,,,,,,124,104,94,77.7,60,40,32,23.5,15,9,7,5.6,4,,,,,,,,27.8,23.3,21,16.5,11.9,6.9,5,3.2,1.8,1.3,1.1,0.8,0.5,,,,,,,,,,,,ME,,,,IPPOLITO 8,I08. Not considered in ESA contract 17760/03/NL/JA (Oct. 2005)
107,WALLOPS IS,US,37.8,284.5,0,0,,K,,,,,,,,,,,1,CMST2,265,BCN,1977/04/01,1978/03/01,365,28.6,L,55,41.6,Y,,,,,,,,,,,,,,70.6,46.2,36,24.1,14,8.9,6.8,3.9,1.8,,,,,,,,,,,,,,,,13,8.2,6.3,4,2.2,,,,,,,,1E-1,1E+0,1E-1,1E+0,0E,,,,GOLDHIRSH,I08
107,WALLOPS IS,US,37.8,284.5,0,0,,K,,,,,,,,,,,2,CMST3,273,BCN,1978/09/01,1979/08/01,365,28.6,L,55,44.5,Y,,,,,,,,,,,,,,65,46.3,38,28.8,19.8,12.4,9.4,6.4,3.8,,,,,,,,,,,,,,,,15.5,9.8,7.5,5,2.9,,,,,,,,1E-1,1E+0,1E-1,1E+0,0E,,,,GOLDHIRSH,I08
107,WALLOPS IS,US,37.8,284.5,0,0,,K,,,,,,,,,,,3,CMST3,273,BCN,1979/09/01,1980/08/01,360,28.6,L,55,44.5,Y,,,,,,,,,,,,,,57.7,40.7,33.2,23.2,14.3,8.4,6.2,4.1,2.4,,,,,,,,,,,,,,,,17.7,10.8,8.1,5.5,3.3,,,,,,,,1E-1,1E+0,1E-1,1E+0,0E,,,,GOLDHIRSH,I08
108,BLACKSBURG#1,US,37.2,279.5,640,,,K,,,,,,,,,,,1,CTS,244,BCN,1977/01/01,1977/11/01,334,11.7,C,45,33,Y,,,,,,,,,,106,92.9,86,70.6,54,42.5,37,21.2,10,5.6,4,2.2,1,,,,,,,,24,20.7,19,16.2,13,9.6,8,6,4,3.3,3,2,1.1,,,,,,,,3E-2,1E+0,3E-3,3E-1,SE,,,,BOSTIAN &,I08
108,BLACKSBURG#1,US,37.2,279.5,640,,,K,,,,,,,,,,,2,CTS,244,BCN,1978/01/01,1978/12/01,365,11.7,C,45,33,Y,,,,,,,,,,99,85.2,78,53.4,32,20.3,15.5,11.1,7,1.9,0.9,0.4,0.1,,,,,,,,13,11.7,11,8.5,6,5.2,4.8,4.3,3.7,3.1,2.8,2.4,2,,,,,,,,3E-3,1E-1,3E-3,1E+0,SE,,,,ANDREWS &,I08. doubtful behaviour between 0.01% and 1% - C.Riva L.Castanet (Oct. 2005)
108,BLACKSBURG#1,US,37.2,279.5,640,,,K,,,,,,,,,,,3,CTS,244,BCN,1976/06/01,1979/06/01,1095,11.7,C,45,33,Y,,,,,,,,,,125,101,87,71.3,51,35.9,27,20.3,12,7.6,5,3.3,1.1,,,,,,,,23.1,18.3,16,13.3,10.3,7.6,6.3,5,3.7,3,2.7,1.5,0.7,,,,,,,,,,,,ME,,,,ANDREWS &,I08. Not considered in ESA contract 17760/03/NL/JA (Oct. 2005)
108,BLACKSBURG#1,US,37.2,279.5,640,,,K,,,,,,,,,,,4,SIRIO,345,BCN,1979/01/01,1979/12/01,365,11.6,C,45,10.7,Y,,,,,,,,,,100,72.4,60,47.7,35,22.2,17,,,,,,,,,,,,,,22,20.7,20,18.2,16,11.9,10,8.1,6,4.6,4,,,,,,,,,,1E-2,3E-2,1E-2,1E+0,SE,,,,ANDREWS &,I08
108,BLACKSBURG#1,US,37.2,279.5,640,,,K,,,,,,,,,,,5,SIRIO,345,BCN,1980/01/01,1980/12/01,366,11.6,C,45,10.7,Y,,,,,,,,,,100,86.9,80,62.7,45,31.1,25,16.9,10,,,,,,,,,,,,24,21.4,20,18.2,16,12.6,11,8.5,6,4.6,4,,,,,,,,,,3E-3,1E-1,1E-2,3E-1,SE,,,,STUTZMAN &,I08
108,BLACKSBURG#1,US,37.2,279.5,640,,,K,,,,,,,,,,,6,SIRIO,345,BCN,1981/01/01,1981/12/01,365,11.6,C,45,10.7,Y,,,,,,,,,,95,85.2,80,68.2,55,33.4,25,25,25,,,,,,,,,,,,24,22.7,22,20.7,19,15,13,10,7,,,,,,,,,,,,0E+0,0E+0,1E-2,1E-1,SE,,,,ANDREWS &,I08
108,BLACKSBURG#1,US,37.2,279.5,640,,,K,,,,,,,,,,,7,SIRIO,345,BCN,1979/01/01,1981/12/01,1096,11.6,C,45,10.7,Y,,,,,,,,,,102,85,77,62,46,28,21,14.1,8,4.3,3,,,,,,,,,,23.2,22,21.3,19.3,16.9,13.6,12,9.3,6.5,4.6,3.8,,,,,,,,,,,,,,ME,,,,ANDREWS &,I08. Not considered in ESA contract 17760/03/NL/JA (Oct. 2005)
108,BLACKSBURG#1,US,37.2,279.5,640,,,K,,,,,,,,,,,8,CMST3,273,BCN,1979/01/01,1979/11/01,334,19,L,52.5,46,Y,,,,,,,,,,104,74.3,61,49.9,38,24.5,19,13.8,9,,,,,,,,,,,,26,24.1,23,18.6,14,12,11,7.9,5,,,,,,,,,,,,1E-2,1E-1,0E+0,0E+0,0E,,,,ANDREWS &,I08. only the 3 last points seem to be valid - C.Riva L.Castanet (Oct. 2005)
108,BLACKSBURG#1,US,37.2,279.5,640,,,K,,,,,,,,,,,9,CMST3,273,BCN,1979/01/01,1979/11/01,334,19,L,37.2,46,Y,,,,,,,,,,,,61,49.3,37,23.5,18,12.8,8,5.9,5,,,,,,,,,,,,26,21.2,16,13.3,12,10.1,8,5.9,5,,,,,,,,,,,,,,TE,,,,BOSTIAN &,I08. Not considered in ESA contract 17760/03/NL/JA (Oct. 2005)
108,BLACKSBURG#1,US,37.2,279.5,640,,,K,,,,,,,,,,,10,CMST23,273,BCN,1977/07/01,1980/08/01,974,19,L,52.5,45,Y,,,,,,,,,,104,84,74,58.8,43,27,21,14.1,8,5,3.4,2.3,1,,,,,,,,,,23.8,20.6,16.8,12.1,10,7.5,5.1,3.9,3.4,2.7,2,,,,,,,,,,,,ME,,,,BOSTIAN &,I08. Not considered in ESA contract 17760/03/NL/JA (Oct. 2005)
108,BLACKSBURG#1,US,37.2,279.5,640,,,K,,,,,,,,,,,11,CMST23,273,BCN,1977/07/01,1980/08/01,974,19,L,37.2,45,Y,,,,,,,,,,104,84,74,58.8,43,27,21,14.1,8,5,3.4,2.3,1,,,,,,,,30,27.4,26,22.7,18.9,13.4,11,8.5,6.1,5.3,5,4.1,3.1,,,,,,,,,,,,TE,,,,STUTZMAN &,I08. Not considered in ESA contract 17760/03/NL/JA (Oct. 2005)
108,BLACKSBURG#1,US,37.2,279.5,640,,,K,,,,,,,,,,,12,CMST234,273,BCN,1977/03/01,1981/08/01,1339,28.6,L,52.5,45,Y,,,,,,,,,,,,,,49,31,24,14.8,8,5,3.4,2.3,1,,,,,,,,,,,,27.7,22.3,19.7,16,12.1,9.5,8.3,7,5.5,,,,,,,,,,,,ME,,,,STUTZMAN &,I08. Not considered in ESA contract 17760/03/NL/JA (Oct. 2005)
108,BLACKSBURG#1,US,37.2,279.5,640,,,K,,,,,,,,,,,13,CMST2,265,BCN,1977/03/01,1977/12/01,306,28.6,L,52.5,44,Y,,,,,,,,,,109.3,96.2,87.8,76.2,59.9,43.4,32.3,20.4,10.6,6.1,,,,,,,,,,,,,,,,35.1,26.2,20.7,12.5,9.5,8.8,7.6,5.8,,,,,,,,2E-2,2E-1,0E+0,0E+0,SE,,,,ANDREWS &,I08. year 77 at 29.8GHz (missing) - C.Riva L.Castanet (Oct. 2005)
108,BLACKSBURG#1,US,37.2,279.5,640,,,K,,,,,,,,,,,14,CMST23,273,BCN,1978/01/01,1978/12/01,334,28.6,L,52.5,45,Y,,,,,,,,,,98.8,87.6,71,49.7,33.4,22,17.3,12.7,6.8,3.9,2.9,,,,,,,,,,,,,35.1,23.5,20.1,18.8,14.1,10.8,8.7,7.5,6.2,4.5,,,,,,,,5E-3,3E-1,3E-2,1E+0,SE,,,,STUTZMAN &,I08
108,BLACKSBURG#1,US,37.2,279.5,640,,,K,,,,,,,,,,,15,CMST3,273,BCN,1979/01/01,1979/12/01,365,28.6,L,52.5,46,Y,,,,,,,,,,98.1,68.8,58.2,47.7,35.1,25,17.8,13,8.9,5.7,,,,,,,,,,,,,,35.3,24.7,18.2,15.2,12.5,9.9,7.9,7.1,6.1,4.8,,,,,,,,2E-2,2E-1,5E-3,1E+0,SE,,,,ANDREWS &,I08
109,PALMETTO,US,33.3,275.6,100,,,M,,,,,,,,,,,1,CMST1,232,BCN,1976/06/01,1977/07/01,365,19,L,90,29.9,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,LIN & AL 8,I08. removed attenuation cdf (only 1 point)
109,PALMETTO,US,33.3,275.6,100,,,M,,,,,,,,,,,2,CMST2,265,BCN,1977/08/01,1978/08/01,365,19,L,90,49.5,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,LIN & AL 8,I08. removed attenuation cdf (only 1 point)
109,PALMETTO,US,33.3,275.6,100,,,M,,,,,,,,,,,3,CMST1,232,BCN,1976/06/01,1977/07/01,365,28.6,L,90,29.9,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,LIN & AL 8,I08. removed attenuation cdf (only 1 point)
109,PALMETTO,US,33.3,275.6,100,,,M,,,,,,,,,,,4,CMST2,265,BCN,1977/08/01,1978/08/01,365,28.6,L,90,49.5,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,LIN & AL 8,I08. removed attenuation cdf (only 1 point)
110,AUSTIN,US,30.4,262.3,240,,,M,,,,,,,,,,,1,CTS,244,BCN,1976/06/01,1977/06/01,365,11.7,C,45,50,Y,,,,,,,,,,93,75.6,67,57.6,47,33.9,28,18.1,10,6.5,5,,,,,,,,,,,,17.5,13,8.7,6.3,5.2,3.6,2.2,1.6,1.3,,,,,,,,,,3E-3,3E-1,3E-3,3E-1,0E,,,,VOGEL 80,I08
110,AUSTIN,US,30.4,262.3,240,,,M,,,,,,,,,,,2,CTS,244,BCN,1977/06/01,1978/06/01,365,11.7,C,45,50,Y,,,,,,,,,,120,104.9,97,82.9,67,45.3,36,20.9,10,6.5,5,,,,,,,,,,,,,,20.5,12.6,9.5,5.6,2.7,1.4,1,,,,,,,,,,1E-2,3E-1,1E-2,3E-1,0E,,,,VOGEL 80,I08
110,AUSTIN,US,30.4,262.3,240,,,M,,,,,,,,,,,3,CTS,244,BCN,1978/06/01,1979/06/01,365,11.7,C,45,50,Y,,,,,,,,,,116,95.3,85,70.1,54,41.1,35,25.1,16,7.7,5,,,,,,,,,,19.1,17.4,16.5,14.1,11.4,8.4,7,4.8,2.9,1.7,1.2,,,,,,,,,,1E-3,3E-1,3E-3,3E-1,0E,,,,VOGEL 80,I08
110,AUSTIN,US,30.4,262.3,240,,,M,,,,,,,,,,,4,,,RDM,1978/10/01,1980/11/01,793,13.6,L,90,52,Y,,,,,,,,,,92,78,71.4,63.7,53,37,29.4,21.9,15,12.4,11.1,9.6,8,,,,,,,,,,,,,,10,6.6,3.7,2.1,1.5,1,,,,,,,,,,,,,,,,,VOGEL 82,I08
110,AUSTIN,US,30.4,262.3,240,,,M,,,,,,,,,,,5,CMST3,273,BCN,1978/10/01,1980/08/01,701,19,L,90,52,Y,,,,,,,,,,95,84,78,68.3,57,42,35,26.5,18,12.4,10,9.6,9,,,,,,,,,,30,27.2,23.7,19,16.6,11.4,6.8,3.7,2.6,1.7,,,,,,,,,1E-2,3E-1,3E-2,5E-1,0E,,,,VOGEL 82,I08. different period with 79-80. different satellite. different polarisation C.Riva L.Castanet (Oct. 2005)
110,AUSTIN,US,30.4,262.3,240,,,M,,,,,,,,,,,6,CMST3,273,BCN,1978/10/01,1980/08/01,670,28.6,L,63,52,Y,,,,,,,,,,95,84,78,68.3,57,42,35,26.5,18,12.4,10,9.6,9,,,,,,,,,,,,,,33.4,24.1,15.5,8.3,5.8,3.5,1.8,,,,,,,,3E-2,3E-1,3E-2,1E+0,0E,,,,VOGEL 82,I08. different period with 79-80. different satellite. different polarisation C.Riva L.Castanet (Oct. 2005)
111,TAMPA,US,27.6,277.7,0,0,,N,,,,,,,,,,,1,CMST3,273,BCN,1979/01/01,1979/12/01,365,19,L,88,54.5,Y,,,,,,,,,,,,,121.6,99,78,66.2,53.4,37,22.6,16,,,,,,,,,,,,,,,,,,,14.3,8.3,4,,,,,,,,,,,,,,,,,TANG 79,I08. Not considered in ESA contract 17760/03/NL/JA (Oct. 2005)
